hts8|brief_description|quantity_1_code|quantity_2_code|mfn_ave97|mfn_rate_type_code|wto_binding_code|mfn_ad_val_rate|mfn_specific_rate|mfn_other_rate|gsp_indicator|gsp_ctry_excluded|apta_indicator|civil_air_indicator|cbi_indicator|cbi_ad_val_rate|cbi_specific_rate|israel_fta_indicator|atpa_indicator|atpa_ad_val_rate|atpa_specific_rate|pharmaceutical_ind|dyes_indicator|nafta_canada_ind|canada_ad_val_rate|canada_specific_rate|canada_other_rate|nafta_mexico_ind|mexico_ad_val_rate|mexico_specific_rate|mexico_other_rate|col2_rate_type_code|col2_ad_val_rate|col2_specific_rate|col2_other_rate|begin_effect_date|end_effective_date
29171940|Acyclic polycarboxylic acids, derived from aromatic hydrocarbons, and their derivatives, nesoi|KG||0.12|4|B|0.107|0.026|0|A+||||E|0|0|IL|J|0|0|K||CA|0|0|0|MX|0|0|0|4|0.4|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29172000|Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives|KG||0.042|7|B|0.042|0|0|A+||||E|0|0|IL|J|0|0|K|L|CA|0|0|0|MX|0.025|0|0|7|0.25|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29173600|Terephthalic acid and its salts|KG||0.175|4|B|0.145|0.026|0|A+||||E|0|0|IL|J|0|0|||CA|0|0|0|MX|0.107|0.022|0|4|0.57|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29173904|1,2,4-Benzenetricarboxylic acid,1,2-dianhydride(trimellitic anhydride);naphthalic anhydride;phthalic acid;& 4-sulfo-1,8-naphthalic anhydride|KG||0.067|7|B|0.067|0|0|A+||||E|0|0|IL|J|0|0|||CA|0|0|0|MX|0|0|0|4|0.37|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29173915|Isophthalic acid|KG||0.071|7|B|0.071|0|0|A+||||E|0|0|IL|J|0|0|||CA|0|0|0|MX|0|0|0|4|0.4|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29173917|Tetrabromophthalic anhydride|KG||0.16|7|B|0.16|0|0|A+||||E|0|0|IL|J|0|0|||CA|0|0|0|MX|0|0|0|4|0.73|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29173930|Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives nesoi, in add. U.S. note 3 to sec. VI|KG||0.114|7|B|0.114|0|0|A+||||E|0|0|IL|J|0|0|||CA|0|0|0|MX|0|0|0|4|0.73|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29173970|Other aromatic polycarboxylic acids and their derivatives (excluding those described in additional US note 3 to section VI|KG||0.16|7|B|0.16|0|0|A+||||E|0|0|IL|J|0|0||L|CA|0|0|0|MX|0.12|0|0|4|0.73|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29181750|Phenylglycolic (Mandelic) acid salts and esters|KG||0.071|7|B|0.071|0|0|A+||||E|0|0|IL|J|0|0|K||CA|0|0|0|MX|0|0|0|4|0.675|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29181920|Aromatic carboxylic acids with alcohol function, w/o other oxygen functions, and their derivatives, described in add. U.S. note 3 to sec. VI|KG||0.114|7|B|0.114|0|0|A+||||E|0|0|IL|J|0|0|K|L|CA|0|0|0|MX|0|0|0|4|0.57|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29181930|Aromatic carboxylic acids with alcohol function, without other oxygen functions, and their derivatives, nesoi|KG||0.147|4|B|0.145|0.026|0|A+||||E|0|0|IL|J|0|0|K|L|CA|0|0|0|MX|0|0|0|4|0.57|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29181990|Nonaromatic carboxylic acids with alcohol function, without other oxygen function, and their derivatives, nesoi|KG||0.04|7|B|0.04|0|0|A+||||E|0|0|IL|J|0|0|K||CA|0|0|0|MX|0|0|0|7|0.25|0|0|05/31/1997 00:00:00|12/31/1999 00:00:00
29182330|Esters of salicylic acid and their salts, described in additional U.S. note 3 to section VI|KG||0.114|7|B|0.114|0|0|A+||||E|0|0|IL|J|0|0|K||CA|0|0|0|MX|0.081|0|0|4|0.57|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29182350|Esters of salicylic acid and their salts, nesoi|KG||0.149|4|B|0.145|0.026|0|A+||||E|0|0|IL|J|0|0|K||CA|0|0|0|MX|0.107|0.022|0|4|0.57|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29182904|2,3-Cresotic acid; m-hydroxybenzoic acid;2-hydroxybenzoic acid, calcium salt; and other specified carboxylic acids w/phenol function|KG||0.058|7|B|0.058|0|0|A+||||E|0|0|IL|J|0|0||L|CA|0|0|0|MX|0.034|0|0|4|0.4|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29182920|Gentisic acid; and hydroxycinnamic acid and its salts|KG||0.067|7|B|0.067|0|0|A+||||E|0|0|IL|J|0|0|||CA|0|0|0|MX|0|0|0|4|0.485|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
29182965|Carboxylic acids with phenol function but w/o other oxygen function, described in add'l. U.S. note 3 to section VI|KG||0.114|7|B|0.114|0|0|A+||||E|0|0|IL|J|0|0|K|L|CA|0|0|0|MX|0|0|0|4|0.57|0.154|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87079050|Bodies (including cabs), for mtr. vehicles (o/than tract. for agri. use) of headings 8701-8705 (except 8703)|NO||0.04|7|B|0.04|0|0|A+||B||E|0|0|IL|J|0|0|||CA|0.004|0|0|MX|0.008|0|0|7|0.25|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87089250|Pts. & access. of mtr. vehic. of 8701, nesoi, and 8702-8705, mufflers & exhaust pipes|NO||0.027|7|B|0.027|0|0|A+||B||E|0|0|IL|J|0|0|||CA|0.003|0|0|MX|0.006|0|0|7|0.25|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87120015|Bicycles, not motorized, w/both wheels not over 63.5 cm in diameter|NO||0.11|7|B|0.11|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.011|0|0|MX|0.066|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87120025|Bicycles, not motorized, w/both wheels o/63.5 cm in diam., weighing under 16.3 kg & not design. for tires w/x-sect. diam. o/4.13cm|NO||0.055|7|B|0.055|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.005|0|0|MX|0.033|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87120035|Bicycles, not motorized, w/both wheels o/63.5 cm in diam., weighing 16.3 kg or more, and/or for use w/tires w/x-sect. diam. o/4.13 cm|NO||0.11|7|B|0.11|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.011|0|0|MX|0.066|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87120044|Bicycles, n/motor., w/front wheel diam. o/55 cm but n/o 63.5 cm & rear wheel diam. o/63.5 cm in diam., & wt <16.3 kg w/o acces., value $200+|NO||0.055|7|B|0.055|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.005|0|0|MX|0.033|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87120048|Bicycles, n/motor., w/front wheel w/diameter different than rear wheel diam., nesoi|NO||0.126|7|B|0.126|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.015|0|0|MX|0.09|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87139000|Invalid carriages, motorized or otherwise mechanically propelled|NO||0.01|7|B|0.01|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.002|0|0|MX|0|0|0|7|0.1|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87149130|Pts. & access. for bicycles & o/cycles, frames, valued at $600 or less each|NO||0.043|7|B|0.043|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.004|0|0|MX|0.029|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87149150|Pts. & access. for bicycles, sets of steel tubing cut to exact length for the assembly (w/other pts) into the frame & fork of one bicycle|KG||0.06|7|B|0.06|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.006|0|0|MX|0.036|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87149210|Pts. & access. for bicycles & o/cycles, wheel rims|KG||0.054|7|B|0.054|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.006|0|0|MX|0.036|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87149328|Pts. & access. for bicycles & o/cycles, variable speed hubs, w/internal gear changing mechanisms, nesoi|NO||0.042|7|B|0.042|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.006|0|0|MX|0|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
87149335|Pts. & access. for bicycles & o/cycles, non-variable speed hubs, nesoi|NO||0.1|7|B|0.1|0|0|A+||||E|0|0|IL|J|0|0|||CA|0.01|0|0|MX|0.06|0|0|7|0.3|0|0|05/31/1997 00:00:00|12/31/1997 00:00:00
